"";"Driver";"year";"race";"raceID";"race_ID";"Start";"Mid Race";"Finish";"High Pos.";"Low Pos.";"Avg. Pos.";"Pass Diff.";"Green Flag Passes";"Green Flag Times Passed";"Quality Passes";"Pct. Quality Passes";"Fastest Lap";"Top 15 Laps";"Pct. Top 15 Laps";"Laps Led";"Pct. Laps Led";"Total Laps";"Driver Rating"
"250";"Michael Annett";"2021";"07";"07_2021";"2021_07";"10";"4";"10";"4";"37";"14";"10";"52";"42";"20";"38.5";"0";"177";"70.8";"0";"0.0";"250";"87.2"
"251";"Jeb Burton";"2021";"07";"07_2021";"2021_07";"13";"2";"11";"2";"38";"11";"20";"63";"43";"44";"69.8";"2";"211";"84.4";"0";"0.0";"250";"92.4"
"252";"Brett Moffitt";"2021";"07";"07_2021";"2021_07";"27";"19";"12";"1";"37";"15";"27";"70";"43";"23";"32.9";"1";"169";"67.6";"7";"2.8";"250";"84.4"
"253";"A.J. Allmendinger";"2021";"07";"07_2021";"2021_07";"3";"34";"13";"2";"39";"27";"-4";"50";"54";"11";"22.0";"1";"66";"26.4";"0";"0.0";"250";"79.3"
"254";"Jeremy Clements";"2021";"07";"07_2021";"2021_07";"11";"28";"14";"4";"28";"14";"19";"50";"31";"23";"46.0";"0";"175";"70.0";"0";"0.0";"250";"80.2"
"255";"Myatt Snider";"2021";"07";"07_2021";"2021_07";"9";"10";"15";"3";"33";"12";"41";"72";"31";"35";"48.6";"5";"183";"73.2";"0";"0.0";"250";"85.9"
"256";"Josh Williams";"2021";"07";"07_2021";"2021_07";"15";"37";"16";"8";"38";"23";"18";"49";"31";"15";"30.6";"0";"57";"22.8";"0";"0.0";"250";"72.8"
"257";"Brandon Gdovic";"2021";"07";"07_2021";"2021_07";"25";"21";"17";"13";"37";"25";"3";"82";"79";"7";"8.5";"0";"17";"6.8";"0";"0.0";"250";"57.8"
"258";"George Gorham, Jr.";"2021";"07";"07_2021";"2021_07";"37";"11";"18";"7";"38";"21";"12";"70";"58";"6";"8.6";"0";"39";"15.6";"0";"0.0";"250";"64.0"
"259";"Jade Buford";"2021";"07";"07_2021";"2021_07";"30";"32";"19";"3";"39";"26";"-47";"46";"93";"2";"4.3";"0";"21";"8.4";"0";"0.0";"250";"48.2"
"260";"Stefan Parsons";"2021";"07";"07_2021";"2021_07";"38";"7";"20";"2";"38";"23";"3";"61";"58";"9";"14.8";"0";"49";"19.7";"0";"0.0";"249";"59.2"
"261";"Gray Gaulding";"2021";"07";"07_2021";"2021_07";"39";"29";"21";"9";"39";"24";"4";"58";"54";"3";"5.2";"0";"29";"11.6";"0";"0.0";"249";"51.8"
"262";"David Starr";"2021";"07";"07_2021";"2021_07";"34";"30";"22";"4";"38";"27";"-25";"52";"77";"0";"0.0";"0";"6";"2.4";"0";"0.0";"249";"44.3"
"263";"Ryan Sieg";"2021";"07";"07_2021";"2021_07";"12";"31";"23";"3";"37";"21";"12";"51";"39";"17";"33.3";"0";"83";"33.3";"0";"0.0";"249";"66.0"
"264";"J.J. Yeley";"2021";"07";"07_2021";"2021_07";"33";"20";"24";"6";"35";"22";"18";"82";"64";"7";"8.5";"0";"28";"11.2";"0";"0.0";"249";"55.8"
"265";"Kyle Weatherman";"2021";"07";"07_2021";"2021_07";"31";"18";"25";"11";"38";"25";"-23";"57";"80";"11";"19.3";"0";"30";"12.0";"0";"0.0";"249";"51.8"
"266";"Bayley Currey";"2021";"07";"07_2021";"2021_07";"26";"8";"26";"1";"35";"20";"-40";"36";"76";"6";"16.7";"0";"67";"26.9";"7";"2.8";"249";"58.2"
"267";"Brandon Brown";"2021";"07";"07_2021";"2021_07";"19";"22";"27";"5";"37";"22";"15";"69";"54";"17";"24.6";"0";"52";"21.0";"0";"0.0";"248";"59.2"
"268";"Matt Jaskol";"2021";"07";"07_2021";"2021_07";"40";"36";"28";"6";"40";"33";"-30";"16";"46";"0";"0.0";"0";"4";"1.6";"0";"0.0";"248";"32.5"
"269";"Riley Herbst";"2021";"07";"07_2021";"2021_07";"7";"9";"29";"2";"38";"21";"-14";"47";"61";"17";"36.2";"3";"114";"46.0";"0";"0.0";"248";"71.0"
